Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
Midway Studios,South Boston Waterfront,2127,89,89,0,53,53,0,36,36,0,Rental,Private,,
Miller (VUP),Dorchester,2122,1,1,0,0,0,0,1,1,0,Rental,Private,,
Ming's Restaurant,South End,2118,38,38,0,37,37,0,1,1,0,Rental,Private,,
Minot Hall Condominium,South End,2118,45,0,45,42,0,42,3,0,3,Ownership,Private,,
Mishawum Assisted Living,Charlestown,2129,66,66,0,33,33,0,33,33,0,Rental,Private,Y,Y
Mishawum Park,Charlestown,2129,337,337,0,0,0,0,337,337,0,Rental,Private,,Y
Mission Hill Flats,Mission Hill,2120,40,40,0,35,35,0,5,5,0,Rental,Private,,
Mission Hill Phase I - HOME AGAIN,Mission Hill,2120,22,6,16,0,0,0,22,6,16,Ownership/Rental,Private,,
Mission Hill Phase II,Mission Hill,2130,34,34,0,0,0,0,34,34,0,Rental,Private,,
Mission Hill Scattered Sites,Mission Hill,2120,21,0,21,16,0,16,5,0,5,Ownership,Private,,
Mission Hill-Phase III - Home Again,Mission Hill,2120,24,6,18,0,0,0,24,6,18,Ownership/Rental,Private,,
Mission Main Phase I,Mission Hill,2120,310,310,0,51,51,0,259,259,0,Rental,Private,,
Mission Main Phase II,Mission Hill,2120,139,139,0,25,25,0,114,114,0,Rental,Private,,
Mission Main Phase III,Mission Hill,2120,86,86,0,14,14,0,72,72,0,Rental,Private,,
Mission Park,Mission Hill,2115,775,775,0,0,0,0,775,775,0,Rental,Private,Y,Y
MLK/Washington Commons,Roxbury,2119,49,0,49,21,0,21,28,0,28,Ownership,Private,,
Monsignor Lyons Condo II,South Boston,2127,6,0,6,0,0,0,6,0,6,Ownership,Private,,
Monsignor Lyons II- HOME AGAIN,South Boston,2127,6,0,6,0,0,0,6,0,6,Ownership,Private,,
Monsignor Lyons Townhouses,South Boston,2127,10,0,10,0,0,0,10,0,10,Ownership,Private,,
Montebello Rd Coop,Jamaica Plain,2130,7,7,0,0,0,0,7,7,0,Cooperative,Private,,
Moore (VUP),Mattapan,2126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Moreland St Apts,Roxbury,2119,12,12,0,0,0,0,12,12,0,Rental,Private,,
Morton Apts,Dorchester,2124,24,24,0,0,0,0,24,24,0,Rental,Private,,Y
Morton Village Apts (AOP),Mattapan,2126,207,207,0,0,0,0,207,207,0,Rental,Private,,
Morville House,Fenway,2115,147,147,0,0,0,0,147,147,0,Rental,Private,Y,Y
Mount Vernon St Housing Project (Phase 1),Dorchester,2125,205,205,0,183,183,0,22,22,0,Rental,Private,,
Mr. Lee's Lodge,Roxbury,2119,17,17,0,1,1,0,16,16,0,Rental,Private,,
Msgr. Powers/L St. (667-3),South Boston,2127,68,68,0,0,0,0,68,68,0,Rental,Public,Y,
Mt Pleasant Apts,Roxbury,2119,98,98,0,0,0,0,98,98,0,Rental,Private,,Y
Mt Pleasant Home Inc.,Jamaica Plain,2199,60,60,0,22,22,0,38,38,0,Rental,Private,,
Mt. Bowdoin/Erie Ellington - HOME AGAIN,Dorchester,2121,16,6,10,0,0,0,16,6,10,Ownership/Rental,Private,,
Munevar (VUP),Jamaica Plain,2130,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
Mystic Studios,South End,2118,32,32,0,26,26,0,6,6,0,Rental,Private,,
Nashua St Residences at the Fleet Center,West End,2114,503,503,0,473,473,0,30,30,0,Rental,Private,,
Nate Smith House,Jamaica Plain,2130,44,44,0,0,0,0,44,44,0,Rental,Private,Y,
Nazing Court,Roxbury,2121,151,151,0,0,0,0,151,151,0,Rental,Private,,
NEBH Redevelopment,Mission Hill,2120,75,75,0,60,60,0,15,15,0,Rental,Private,Y,
NEMA Boston,South Boston Waterfront,2127,414,414,0,360,360,0,54,54,0,Rental,Private,,
Neponset Fields - Elderly Housing (202),Hyde Park,2136,31,31,0,1,1,0,30,30,0,Rental,Private,Y,
New England Heritage Homes 1,Dorchester,2124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
New England Heritage Homes 2,Dorchester,2124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
New England Heritage Homes 3,Dorchester,2124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
New England Heritage Homes 4,Dorchester,2124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
New England Heritage Homes 5,Dorchester,2124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
New England Heritage Homes 6,Dorchester,2124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
New England Heritage Homes 7,Dorchester,2124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
New Port Antonio Apts,Roxbury,2119,227,227,0,0,0,0,227,227,0,Rental,Private,,Y
Newcastle/Saranac,Roxbury,2127,97,97,0,48,48,0,49,49,0,Rental,Private,,Y
Nor-al,Dorchester,2124,57,57,0,0,0,0,57,57,0,Rental,Private,,Y
Norfield,Dorchester,2121,45,45,0,0,0,0,45,45,0,Rental,Private,,Y
Norflett (VUP),Dorchester,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Norfolk Street Transitional,Mattapan,2126,3,3,0,0,0,0,3,3,0,Rental,Private,,
North Suffolk Group Home,East Boston,2128,28,28,0,0,0,0,28,28,0,Rental,Private,,
North Suffolk Group Home 2,Hyde Park,2136,28,28,0,0,0,0,28,28,0,Rental,Private,,
Northampton Street,Roxbury,2118,32,0,32,26,0,26,6,0,6,Ownership,Private,,
Northampton Tower,Roxbury,2118,347,347,0,86,86,0,261,261,0,Rental,Private,,
Northampton/Mass. Ave,Roxbury,2118,12,12,0,0,0,0,12,12,0,Rental,Private,,
Norway Housing,Fenway,2115,136,136,0,0,0,0,136,136,0,Rental,Private,Y,Y
Norwell Whitfield (HOME AGAIN),Dorchester,2124,20,2,18,0,0,0,20,2,18,Ownership/Rental,Private,,
Nu Life Development,Dorchester,2121,16,0,16,0,0,0,16,0,16,Ownership,Private,,
OAK ROW,West Roxbury,2132,80,80,0,70,70,0,10,10,0,Rental,Private,,
Oak Terrace,Chinatown,2111,88,88,0,0,0,0,88,88,0,Rental,Private,Y,Y
O'Connor Way [Pier 4/Phase III Offsite Affordables],South Boston,2127,47,47,0,1,1,0,46,46,0,Rental,Private,Y,
Off Centre Lofts,Jamaica Plain,2130,21,21,0,19,19,0,2,2,0,Rental,Private,,
Old Colony (2-24),South Boston,2127,873,873,0,0,0,0,873,873,0,Rental,Public,,
Old Colony Square,South Boston,2127,24,0,24,21,0,21,3,0,3,Ownership,Private,,
Oliveira (VUP),Dorchester,2125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Olmstead Green Phase 2,Mattapan,2124,50,50,0,0,0,0,50,50,0,Rental,Private,,
Olmstead Green Phase I Rental,Mattapan,2124,51,51,0,0,0,0,51,51,0,Rental,Private,,
Olmsted Green - Mixed Income Rental,Mattapan,2124,100,100,0,60,60,0,40,40,0,Rental,Private,,
Olmsted Green Phase 4,Mattapan,2124,47,47,0,0,0,0,47,47,0,Rental,Private,,
Olmsted Green Rental Housing Phase 3,Mattapan,2124,50,50,0,0,0,0,50,50,0,Rental,Private,,
Olmsted Place,Jamaica Plain,2115,196,196,0,159,159,0,37,37,0,Rental,Private,,
On Luck Housing,Chinatown,2111,75,75,0,1,1,0,74,74,0,Rental,Private,Y,Y
One Canal,West End,2114,310,310,0,290,290,0,20,20,0,Rental,Private,,
One Garden Condominium,Beacon Hill,2114,12,0,12,11,0,11,1,0,1,Ownership,Private,,
One Greenway (Parcel 24 North/Affordable),Chinatown,2111,312,312,0,217,217,0,95,95,0,Rental,Private,,Y
One Lenox (SPO),Roxbury,2118,26,26,0,1,0,1,25,25,0,Rental,Private,,
One Lincoln Plaza,Leather District,2111,85,0,85,74,0,74,11,0,11,Ownership,Private,,
One Newcomb Place,Roxbury,2118,23,23,0,20,20,0,3,3,0,Rental,Private,,
Orchard Gardens,Roxbury,2119,331,331,0,49,49,0,282,282,0,Rental,Public,,
Orchard Park (Off-Site Phase I),Roxbury,2119,78,78,0,14,14,0,64,64,0,Rental,Private,,
Orient Heights (200-8),East Boston,2128,331,331,0,0,0,0,331,331,0,Rental,Public,,
Otis Field Estates,Roxbury,2121,10,0,10,0,0,0,10,0,10,Ownership,Private,,
Owens (VUP),Dorchester,2121,2,2,0,0,0,0,2,2,0,Rental,Private,,
Oxford Ping On,Chinatown,2111,67,67,0,1,1,0,66,66,0,Rental,Private,,
Oxford Place,Chinatown,2111,39,39,0,0,0,0,39,39,0,Rental,Private,,Y
Packard Crossing Phase I,Allston,2134,38,38,0,33,33,0,5,5,0,Rental,Private,,
Parcel 24/South Homeownership,Chinatown,2111,51,0,51,0,0,0,51,0,51,Ownership,Private,,
Parcel 25 (Phase 1A),Mission Hill,2120,40,40,0,0,0,0,40,40,0,Rental,Private,,
Parcel 39A,Charlestown,2129,54,0,54,43,0,43,11,0,11,Ownership,Private,,
Parcel P-2,Charlestown,2129,21,0,21,14,0,14,7,0,7,Ownership,Private,,
Parcel R-8,Roxbury,2118,3,0,3,2,0,2,1,0,1,Ownership,Private,,
Parcel U (Phase A & C),Jamaica Plain,2130,102,78,24,21,0,21,81,78,3,Ownership/Rental,Private,,
Parcel U (Phase B),Jamaica Plain,2130,30,0,30,26,0,26,4,0,4,Ownership,Private,,
Paris Village,East Boston,2128,32,32,0,0,0,0,32,32,0,Rental,Private,,
Park Cinema,Dorchester,2122,38,38,0,0,0,0,38,38,0,Rental,Private,,Y
Park Congregate,Dorchester,2124,18,18,0,0,0,0,18,18,0,Rental,Private,Y,
Park Gardens,Roxbury,2119,38,38,0,0,0,0,38,38,0,Rental,Private,,Y
Park Lane Seaport Apartments (Massport Parcels G & J),South Boston Waterfront,2127,465,112,353,447,97,350,18,15,3,Ownership,Private,,
Parker Hill Apts,Mission Hill,2120,90,90,0,0,0,0,90,90,0,Rental,Private,,
Parkside on Adams,Roslindale,2131,43,43,0,37,37,0,6,6,0,Rental,Private,,
Parkview SRO,Fenway,2115,61,61,0,0,0,0,61,61,0,Rental,Private,,
Parmelee Court,Roxbury,2118,74,74,0,25,25,0,49,49,0,Rental,Private,,
Parry (VUP),Roxbury,2121,2,2,0,0,0,0,2,2,0,Rental,Private,,
Pasciucco Apts (2-54),Dorchester,2125,92,92,0,0,0,0,92,92,0,Rental,Public,Y,
Pass (VUP),Dorchester,2124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Patricia White (2-71),Brighton,2135,225,225,0,0,0,0,225,225,0,Rental,Public,Y,
Patrick (VUP),Mattapan,2126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
PBX Residences,Chinatown,2111,46,46,0,39,39,0,7,7,0,Rental,Private,,
Peabody Building,Dorchester,2124,18,18,0,7,7,0,11,11,0,Rental,Private,,
Peabody Square/Englewood (2-83),Dorchester,2124,103,103,0,0,0,0,103,103,0,Rental,Public,Y,
Penniman on the Park,Allston,2134,36,0,36,30,0,30,6,0,6,Ownership,Private,,
Penny Savings,South End,2118,23,0,23,21,0,21,2,0,2,Ownership,Private,,
Pereira (VUP),Dorchester,2125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Perkins (VUP),Mattapan,2126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Peterborough Housing,Fenway,2215,220,220,0,0,0,0,220,220,0,Rental,Private,,Y
Peters (VUP),Dorchester,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Phillips Brooks School,Dorchester,2121,56,56,0,0,0,0,56,56,0,Rental,Private,,
Pickle Factory (Oliver Lofts),Mission Hill,2120,62,62,0,19,19,0,43,43,0,Rental,Private,,
Pine Street Harrison (SPO),South End,2118,11,11,0,0,0,0,11,11,0,Rental,Private,,
Pine Street Inn (689-1),South End,2118,150,150,0,0,0,0,150,150,0,Rental,Public,,
Pine Street Park Dr (SPO),Fenway,2215,22,22,0,0,0,0,22,22,0,Rental,Private,,
Pinnock (VUP),Mattapan,2126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Pond View Apartments,Jamaica Plain,2130,60,60,0,4,4,0,56,56,0,Rental,Private,,Y
Port 45,South Boston,2127,104,0,104,91,0,91,13,0,13,Ownership,Private,,
Portis Family House,Jamaica Plain,2115,7,7,0,0,0,0,7,7,0,Rental,Private,,
Powell (VUP),Roxbury,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Prang Estates,Roxbury,2119,33,33,0,0,0,0,33,33,0,Rental,Private,,
Project Family Independence,Roxbury,2119,15,15,0,0,0,0,15,15,0,Rental,Private,,
Putnam Place,Roxbury,2121,9,1,8,2,0,2,7,1,6,Ownership/Rental,Private,,
Quincy Commons,Roxbury,2119,40,40,0,0,0,0,40,40,0,Rental,Private,Y,
Quincy Heights,Dorchester,2121,129,129,0,0,0,0,129,129,0,Rental,Private,,Y
Quincy Tower,Chinatown,2116,161,161,0,0,0,0,161,161,0,Rental,Private,Y,
RAP-UP I,Roxbury,2119,33,33,0,0,0,0,33,33,0,Rental,Private,,Y
RAP-UP II B,Roxbury,2119,51,51,0,0,0,0,51,51,0,Rental,Private,,Y
Raven-Ramsey-Folsom,Dorchester,2125,7,4,3,1,0,1,6,3,3,Ownership/Rental,Private,,
Reddick (VUP),Roxbury,2119,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Renwood-Cunard,Roxbury,2120,17,17,0,0,0,0,17,17,0,Rental,Private,,
Reservoir Towers,Brighton,2135,242,242,0,0,0,0,242,242,0,Rental,Private,Y,Y
Residences At Bigelow Court,Brighton,2135,26,0,26,23,0,23,3,0,3,Ownership/Rental,Private,,
Residences at Brighton Marine,Brighton,2135,102,102,0,0,0,0,102,102,0,Rental,Private,,
Residences at Dahlgren Hall,South Boston,2127,18,0,18,16,0,16,2,0,2,Ownership,Private,,
Residences at Fairmount Station,Hyde Park,2136,27,27,0,0,0,0,27,27,0,Rental,Private,,
Riley House - 202,Hyde Park,2136,41,41,0,1,1,0,40,40,0,Rental,Private,Y,
Rivers Edge Condominiums,Mattapan,2126,62,62,0,56,56,0,6,6,0,Rental,Private,,
RMSC Family House Shelter Conversion,Dorchester,2121,8,8,0,0,0,0,8,8,0,Rental,Private,,
Robert L. Fortes House,Roxbury,2118,44,44,0,0,0,0,44,44,0,Rental,Private,Y,Y
Robinson (VUP),Dorchester,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Rockingham Glen,West Roxbury,2132,143,143,0,100,100,0,43,43,0,Rental,Private,,
Rockland 202: Warren Gardens,Roxbury,2119,40,40,0,0,0,0,40,40,0,Rental,Private,Y,
Rockland Towers (2-50),West Roxbury,2132,69,69,0,0,0,0,69,69,0,Rental,Public,Y,
Rockvale Circle,Jamaica Plain,2130,30,30,0,15,15,0,15,15,0,Cooperative,Private,,
Rodrigues (VUP),Jamaica Plain,2130,2,2,0,1,1,0,1,1,0,Rental,Private,,
Rollins Square - Parcel 32C,South End,2118,184,37,147,74,0,74,110,37,73,Ownership/Rental,Private,?,
Rope Walk Complex,Charlestown,2129,97,97,0,84,84,0,13,13,0,Rental,Private,,
Roslindale Commons Condominiums,Roslindale,2131,12,0,12,11,0,11,1,0,1,Ownership,Private,,
Roslindale School,Roslindale,2131,84,84,0,0,0,0,84,84,0,Rental,Private,Y,Y
Roslindale Senior NP Hsg,Roslindale,2131,80,80,0,1,1,0,79,79,0,Rental,Private,Y,
Roslyn/Cliffmont,Roslindale,2131,118,118,0,0,0,0,118,118,0,Rental,Public,Y,
Roxbury Corners Coop,Roxbury,2118,54,54,0,13,13,0,41,41,0,Rental,Private,,
Roxbury Crossing Senior Building,Mission Hill,2120,40,40,0,1,1,0,39,39,0,Rental,Private,Y,
Roxbury Tenants of Harvard,Mission Hill,2115,20,20,0,7,7,0,13,13,0,Rental,Private,,
Roxse Homes,Roxbury,2118,346,346,0,0,0,0,346,346,0,Rental,Private,,Y
R-Prospect St,Charlestown,2129,14,0,14,11,0,11,3,0,3,Ownership,Private,,
RTH Restoration Housing,Mission Hill,2115,81,81,0,0,0,0,81,81,0,Rental,Private,Y,Y
Ruggles Shawmut Housing,Roxbury,2119,43,43,0,0,0,0,43,43,0,Rental,Private,?,Y
Rutherford Landing,Charlestown,2129,18,18,0,16,16,0,2,2,0,Rental,Private,,
Rutland Square,South End,2118,5,5,0,0,0,0,5,5,0,Rental,Private,,
Rutland/East Springfield St (2-74),South End,2118,13,13,0,0,0,0,13,13,0,Rental,Public,,
S Boston Hsg Initiative- Habitat,South Boston,2127,7,0,7,0,0,0,7,0,7,Ownership,Private,,
Safe Haven,Back Bay,2116,6,6,0,0,0,0,6,6,0,Rental,Private,,
Sarah Baker Manor,Roxbury,2119,41,41,0,0,0,0,41,41,0,Rental,Private,Y,Y
Saratoga Heights,East Boston,2128,21,0,21,18,0,18,3,0,3,Ownership,Private,,
Sargent Prince SRO,Roxbury,2119,29,29,0,0,0,0,29,29,0,Rental,Private,,
Sargent Street Homes - Home Again,Roxbury,2125,16,5,11,0,0,0,16,5,11,Ownership/Rental,Private,,
Savin Hill Apartments,Dorchester,2125,132,132,0,0,0,0,132,132,0,Rental,Private,Y,Y
Savin Maywood Init. (Phase II),Roxbury,2119,8,0,8,0,0,0,8,0,8,Ownership,Private,,
Savin/Creston Project,Roxbury,2119,28,28,0,2,2,0,26,26,0,Rental,Private,,
Savin/Maywood (Phase III) - Home Again,Roxbury,2119,5,0,5,0,0,0,5,0,5,Ownership,Private,,
Scattered Site Coop,Jamaica Plain,2130,18,18,0,3,3,0,15,15,0,Cooperative,Private,,
School House 77,Roxbury,2119,38,38,0,0,0,0,38,38,0,Rental,Private,?,
Schoolhouse Brookledge,Mattapan,2126,90,90,0,0,0,0,90,90,0,Rental,Private,Y,Y
Seaport Square Parcels B & C,South Boston Waterfront,2210,832,832,0,736,736,0,96,96,0,Rental,Private,,
SECD Housing,Roxbury,2118,10,10,0,0,0,0,10,10,0,Rental,Private,,Y
SECHC Cumston St,South End,2118,58,0,58,51,0,51,7,0,7,Ownership,Private,,
SETH APARTMENTS I,South End,2118,185,185,0,0,0,0,185,185,0,Rental,Private,,Y
Seton Manor,Brighton,2135,19,19,0,0,0,0,19,19,0,Rental,Private,,
Shalom Properties,East Boston,2128,30,30,0,0,0,0,30,30,0,Rental,Private,,
Shawmut Ave Lodging House,South End,2118,15,15,0,0,0,0,15,15,0,Rental,Private,,
Shawmut Estates (p/o Orchard Park offsite Phase 3 HO),Roxbury,2119,15,0,15,0,0,0,15,0,15,Ownership,Private,,
Shore Plaza East,East Boston,2128,380,380,0,0,0,0,380,380,0,Rental,Private,,Y
Signal Building,South Boston,2127,75,0,75,66,0,66,9,0,9,Ownership,Private,,
Singleton (VUP),East Boston,2128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Siochain II,East Boston,2128,6,6,0,0,0,0,6,6,0,Rental,Private,,
Siochain Rental Rehab Project I,East Boston,2128,12,12,0,1,1,0,11,11,0,Rental,Private,,
Sister Clara Co-op,Dorchester,2125,25,25,0,0,0,0,25,25,0,Rental,Private,,
Six55 Condominium,South Boston,2127,18,0,18,16,0,16,2,0,2,Ownership,Private,,
Smith House,Roxbury,2119,132,132,0,0,0,0,132,132,0,Rental,Private,Y,
"Smith, Steven (VUP)",Dorchester,2121,1,1,0,0,0,0,1,1,0,Rental,Private,,
Soares (VUP),Roxbury,2125,1,1,0,0,0,0,1,1,0,Rental,Private,,
"Sonoma, Maple, Schuyler",Roxbury,2121,115,115,0,15,15,0,100,100,0,Rental,Private,,Y
Sophia Snow House,West Roxbury,2132,102,102,0,0,0,0,102,102,0,Rental,Private,?,
South Bay Mixed-Use Town Center (Building D),Dorchester,2125,260,260,0,226,226,0,34,34,0,Rental,Private,,
South Boston Coop Svc Hsg,South Boston,2127,65,65,0,0,0,0,65,65,0,Rental,Private,Y,
South Boston Elderly Housing,South Boston,2127,50,50,0,0,0,0,50,50,0,Rental,Private,Y,
South Boston Housing Initiative - Cityside,South Boston,2127,5,0,5,0,0,0,5,0,5,Ownership,Private,,
South Boston Portfolio,South Boston,2127,27,27,0,0,0,0,27,27,0,Rental,Private,,
South Cove Apts,Downtown,2109,231,231,0,2,2,0,229,229,0,Rental,Private,Y,Y
South End Apartments,Roxbury,2120,27,27,0,0,0,0,27,27,0,Rental,Private,,Y
SOUTH END APARTMENTS RENOVATION PROJECT,Roxbury,2118,5,5,0,0,0,0,5,5,0,Rental,Private,,
South End CHC,South End,2118,60,2,58,54,0,54,6,2,4,Ownership/Rental,Private,,
South End Coop. Housing,South End,2118,75,75,0,2,2,0,73,73,0,Rental,Private,,
South End Tenants I,South End,2118,100,100,0,0,0,0,100,100,0,Rental,Private,Y,Y
South End Tenants II,South End,2116,185,185,0,0,0,0,185,185,0,Rental,Private,,Y
South Street (200-12),Jamaica Plain,2130,132,132,0,0,0,0,132,132,0,Rental,Public,,
Southwest Crossing Condominium,Roslindale,2131,12,0,12,8,0,8,4,0,4,Ownership/Rental,Private,,
Spencer House,Jamaica Plain,2119,46,46,0,0,0,0,46,46,0,Rental,Private,Y,
Spring/Temple St (2-70),West Roxbury,2132,104,104,0,0,0,0,104,104,0,Rental,Public,Y,
St Botolph Apts (2-53),Back Bay,2116,132,132,0,0,0,0,132,132,0,Rental,Public,Y,
St Botolph St. Assisted Living Community,Back Bay,2118,82,82,0,28,28,0,54,54,0,Rental,Private,Y,
St Botolph Street Apts,Back Bay,2115,135,135,0,43,43,0,92,92,0,Rental,Private,,Y
St Botolph Terrace,Fenway,2115,52,52,0,0,0,0,52,52,0,Rental,Private,,Y
St Cecilia's House,Fenway,2115,123,123,0,0,0,0,123,123,0,Rental,Private,Y,
St Gabriel's,Brighton,2135,670,559,111,572,476,96,98,83,15,Rental,Private,,
St Helena House,South End,2118,74,74,0,1,1,0,73,73,0,Rental,Private,Y,Y
St James Estate Condominium,Roxbury,2119,22,0,22,14,0,14,8,0,8,Ownership,Private,,
St John of God - Market & Clergy,Brighton,2135,92,8,84,84,0,84,8,8,0,Ownership/Rental,Private,,
St Josephs Housing,Roxbury,2119,137,137,0,32,32,0,105,105,,Rental,Private,,Y
St Kevin's,Dorchester,2125,80,80,0,0,0,0,80,80,0,Rental,Private,,
St Peter and Paul Church and Rectory,South Boston,2127,44,0,44,37,0,37,7,0,7,Ownership,Private,,
Stadia 50,Brighton,2135,46,0,46,40,0,40,6,0,6,Ownership,Private,,
Stafford Heights/New Boston Coop,Roxbury,2119,41,41,0,0,0,0,41,41,0,Cooperative,Private,,
Stanwood Homes - Home Again,Dorchester,2121,19,7,12,0,0,0,19,7,12,Ownership/Rental,Private,,
Stille (VUP),South Boston,2127,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Stonewall at Audubon Circle Phase I,Fenway,2215,53,0,53,48,0,48,5,0,5,Ownership,Private,,
Stony Brook Gardens/ Chestnut-Lamartine,Jamaica Plain,2130,50,50,0,0,0,0,50,50,0,Cooperative,Private,,
Stony Brook Village (formerly Canterbury Hts),Roslindale,2136,98,98,0,0,0,0,98,98,0,Rental,Private,,
Strada 234,West End,2114,108,108,0,88,88,0,20,20,0,Rental,Private,,
Strathcona Arms (p/o Ten Most Wanted),Dorchester,2121,14,14,0,0,0,0,14,14,0,Rental,Private,,
Sullivan (VUP),Dorchester,2121,1,1,0,0,0,0,1,1,0,Rental,Private,,
Sumner Court,Dorchester,2125,10,0,10,0,0,0,10,0,10,Ownership,Private,,
Sumner Hill House,Jamaica Plain,2130,75,0,75,45,0,45,30,0,30,Rental,Private,,
Suppressed1,South End,2118,17,17,0,0,0,0,17,17,0,Rental,Private,,
Suppressed10,Dorchester,2124,11,11,0,0,0,0,11,11,0,Rental,Private,,
Suppressed11,Fenway,2115,75,75,0,0,0,0,75,75,0,Rental,Private,Y,
Suppressed12,Roxbury,2119,20,20,0,0,0,0,20,20,0,Rental,Private,,
Suppressed13,Fenway,2215,16,16,0,0,0,0,16,16,0,Rental,Private,,
Suppressed14,Jamaica Plain,2119,12,12,0,0,0,0,12,12,0,Rental,Private,,
Suppressed15,Brighton,2135,18,18,0,0,0,0,18,18,0,Rental,Private,,
Suppressed16,South End,2118,15,15,0,0,0,0,15,15,0,Rental,Private,,
Suppressed17,East Boston,2128,18,18,0,0,0,0,18,18,0,Rental,Private,,
Suppressed18,Dorchester,2122,4,4,0,0,0,0,4,4,0,Rental,Private,,
Suppressed19,Dorchester,2122,6,6,0,0,0,0,6,6,0,Rental,Private,,
Suppressed2,Roxbury,2120,75,75,0,0,0,0,75,75,0,Rental,Private,,
Suppressed20,Dorchester,2125,6,6,0,0,0,0,6,6,0,Rental,Private,,
Suppressed21,South End,2118,3,3,0,0,0,0,3,3,0,Rental,Private,,
Suppressed22,Roxbury,2119,23,23,0,0,0,0,23,23,0,Rental,Private,,
Suppressed23,Dorchester,2124,4,4,0,0,0,0,4,4,0,Rental,Private,,
Suppressed24,Dorchester,2124,5,5,0,0,0,0,5,5,0,Rental,Private,,
Suppressed25,Dorchester,2124,11,11,0,1,1,0,10,10,0,Rental,Private,,
Suppressed26,Downtown,2116,56,56,0,0,0,0,56,56,0,Rental,Private,,
Suppressed27,Brighton,2135,102,102,0,33,33,0,69,69,0,Rental,Private,Y,
Suppressed28,Jamaica Plain,2130,6,6,0,0,0,0,6,6,0,Rental,Private,,
Suppressed29,Mattapan,2126,8,8,0,0,0,0,8,8,0,Rental,Private,,
Suppressed3,Allston,2134,12,12,0,0,0,0,12,12,0,Rental,Private,,
Suppressed30,Roxbury,2125,13,13,0,0,0,0,13,13,0,Rental,Private,,
Suppressed31,Beacon Hill,2114,120,120,0,0,0,0,120,120,0,Rental,Private,,
Suppressed32,Roxbury,2119,19,19,0,0,0,0,19,19,0,Rental,Private,,
Suppressed33,Beacon Hill,2114,21,21,0,1,1,0,20,20,0,Rental,Private,,Y
Suppressed34,Mattapan,2126,48,48,0,0,0,0,46,46,0,Rental,Public,Y,
Suppressed35,Roxbury,2119,131,131,0,0,0,0,131,131,0,Rental,Private,,Y
Suppressed36,Fenway,2115,48,48,0,0,0,0,48,48,0,Rental,Private,,Y
Suppressed4,Dorchester,2125,9,9,0,1,1,0,8,8,0,Rental,Private,,Y
Suppressed5,Dorchester,2125,12,12,0,0,0,0,12,12,0,Rental,Private,,
Suppressed6,West Roxbury,2132,4,4,0,0,0,0,4,4,0,Rental,Private,,
Suppressed7,Charlestown,2129,25,25,0,0,0,0,25,25,0,Rental,Private,,
Suppressed8,Fenway,2115,14,14,0,1,1,0,13,13,0,Rental,Private,,
Suppressed9,Roxbury,2119,9,9,0,0,0,0,9,9,0,Rental,Private,,
Symphony Court at Burbank Street,Fenway,2115,34,0,34,32,0,32,2,0,2,Ownership,Private,,
Symphony Plaza East,Back Bay,2115,188,188,0,0,0,0,188,188,0,Rental,Private,Y,Y
Symphony Plaza West,Fenway,2115,216,216,0,0,0,0,216,216,0,Rental,Private,Y,Y
TAB I,Dorchester,2125,71,71,0,0,0,0,71,71,0,Rental,Private,Y,Y
TAB II,Jamaica Plain,2119,68,68,0,1,1,0,67,67,0,Rental,Private,,Y
TAB II?,Dorchester,2125,98,98,0,0,0,0,98,98,0,Rental,Private,,
Tai Tung Village,Chinatown,2111,215,215,0,1,1,0,214,214,0,Rental,Private,,Y
Taino Tower,South End,2118,27,0,27,12,0,12,15,0,15,Ownership,Private,,
Talbot Commons Phase 1,Dorchester,2124,40,40,0,21,21,0,19,19,0,Rental,Private,,
Talbot/Bernard (Elderly) 202,Dorchester,2124,31,31,0,1,1,0,30,30,0,Rental,Private,Y,Y
