Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income- Restricted,Income- Restricted Rental,Income- Restricted Ownership,Tenure,Public/ Private,Includes Elderly Units?,Section_8
The Tremont,Jamaica Plain,02120,66,66,0,65,65,0,1,1,0,Rental,Private,,
Theroch,Roxbury,02121,222,222,0,31,31,0,191,191,0,Rental,Private,,Y
Thetford-Dyer Neighborhood Homes,Mattapan,02124,16,7,9,6,6,0,10,4,6,Ownership/Rental,Private,,
Torre Unidad (2-49),South End,02118,199,199,0,0,0,0,199,199,0,Rental - Elderly,Public,Y,
Townhouses at Glenwood,Hyde Park,02136,19,0,19,17,0,17,2,0,2,Rental - Elderly,Private,Y,
Townhouses at Neponset River,Hyde Park,02136,16,0,16,14,0,14,2,0,2,Ownership,Private,,
Tremont Houses,South End,02118,23,23,0,0,0,0,23,23,0,Rental,Private,,
Trilogy Residential,Fenway/Kenmore,02215,534,534,0,475,475,0,59,59,0,Rental,Private,,
Trinity Franklin Hill Phase 2B,Mattapan,02124,38,38,0,0,0,0,38,38,0,Rental,Public,,
Trinity Neighborhood House,East Boston,02128,16,16,0,0,0,0,16,16,0,Rental - Homeless,Private,,
Trinity Terrace,Dorchester,02121,62,62,0,0,0,0,62,62,0,Rental,Private,,
Trinity Terrace ('03 Phase),Dorchester,02121,16,16,0,0,0,0,16,16,0,Rental,Private,,
Trolley House Condos,South Boston,02127,25,0,25,23,0,23,2,0,2,Ownership,Private,,
Troy Boston,South End,02118,378,378,0,340,340,0,38,38,0,Rental,Private,,
Trull/Ware Homes,Dorchester,02125,4,1,3,0,0,0,4,1,3,Ownership/Rental,Private,,
Twenty at Luma,Roxbury,02121,20,0,20,0,0,0,20,0,20,Ownership,Private,,
UE Apartments,Jamaica Plain,02130,82,82,0,0,0,0,82,82,0,Rental,Private,Y,
Ulin House,Allston/Brighton,02135,242,242,0,0,0,0,242,242,0,Rental - Elderly,Private,Y,Y
Uphams Corner Market Residential,Dorchester,02125,45,45,0,1,1,0,44,44,0,Rental,Private,,
Uphams Corner/Red Hazel Apts,Roxbury,02125,36,36,0,0,0,0,36,36,0,Rental,Private,,Y
Uphams West,Roxbury,02125,13,13,0,0,0,0,13,13,0,Rental,Private,,
Upton Street Lodging House,South End,02136,19,19,0,1,1,0,18,18,0,Rental,Private,,
Upton Street Lodging House Units,South Boston,02118,19,19,0,1,1,0,18,18,0,Rental,Private,,
Urbanica 691,South End,02118,40,0,40,38,0,38,2,0,2,Ownership,Private,,
Urbanica Highland Park (E+),Roxbury,02119,4,0,4,3,0,3,1,0,1,Ownership,Private,,
Valenchuck,Dorchester,02122,2,2,0,0,0,0,2,2,0,Rental,Private,,
Van Ness Terrace,Roxbury,02119,50,50,0,0,0,0,50,50,0,Rental,Private,,
Vet Step Up,Roxbury,02121,10,10,0,0,0,0,10,10,0,Rental - SRO,Private,,
VFW Parkway Condos,West Roxbury,02132,15,0,15,14,0,14,1,0,1,Ownership,Private,,
Victoria Apartments,South End,02118,190,190,0,0,0,0,190,190,0,Rental,Private,,Y
Victory Gardens Plaza,East Boston,02128,87,87,0,0,0,0,87,87,0,Rental - Elderly,Private,Y,Y
Victory House,South End,02118,6,6,0,0,0,0,6,6,0,Rental,Private,,
Viet-AID,Dorchester,02122,6,6,0,0,0,0,6,6,0,Rental,Private,,
Villa Michelangelo,Central,02113,71,71,0,0,0,0,71,71,0,Rental - Elderly,Private,Y,
Village At Cleary Square,Hyde Park,02136,59,0,59,53,0,53,6,0,6,Ownership,Private,,
Vines CDFI,Dorchester,02121,2,2,0,0,0,0,2,2,0,Rental,Private,,
Viridian,Fenway/Kenmore,02215,350,350,0,312,312,0,38,38,0,Rental,Private,,
Viviendas Associates I,South End,02118,181,181,0,0,0,0,181,181,0,Rental,Private,,Y
Viviendas La Victoria II,South End,02118,190,190,0,0,0,0,190,190,0,Rental,Private,,
Wait Street,Fenway/Kenmore,02215,100,100,0,0,0,0,100,100,0,Rental,Private,Y,Y
Wallingford Housing,Allston/Brighton,02135,209,209,0,0,0,0,209,209,0,Rental - Elderly,Private,Y,Y
Walnut Avenue Apartments (SPO),Jamaica Plain,02130,31,31,0,0,0,0,31,31,0,Rental - Homeless,Private,,
Walnut Community Housing,Roxbury,02119,37,37,0,3,3,0,34,34,0,Rental - Elderly,Private,Y,
Walnut House/Rogerson,Roxbury,02119,37,37,0,0,0,0,37,37,0,Rental - Elderly,Private,Y,
Walter Baker Lofts,Mattapan,02124,13,13,0,0,0,0,13,13,0,Rental - Artist,Private,,
Walter J. Martin Coop,South Boston,02127,34,34,0,0,0,0,34,34,0,Cooperative,Private,,
Wardman Apts,Roxbury,02119,88,88,0,0,0,0,88,88,0,Rental,Private,,Y
Wareham Lofts,South End,02118,28,0,28,25,0,25,3,0,3,Ownership,Private,,
Warren Avenue Apts,South End,02116,30,30,0,1,1,0,29,29,0,Rental,Private,,Y
Warren Gardens Coop,Roxbury,02119,228,228,0,0,0,0,228,228,0,Cooperative,Private,,Y
Warren Green Leasehold Condominiums,Charlestown,02129,17,0,17,15,0,15,2,0,2,Ownership,Private,,
Warren St Nursing Home,Roxbury,02121,9,9,0,0,0,0,9,9,0,Rental,Private,,
Washington Grove,West Roxbury,02132,24,0,24,21,0,21,3,0,3,Ownership/Rental,Private,,
"Washington Heights I, II",Roxbury,02119,175,175,0,0,0,0,175,175,0,Rental,Private,,Y
Washington Manor (2-44C),South End,02118,77,77,0,0,0,0,77,77,0,Rental - Elderly,Public,Y,
Washington Mews,Dorchester,02124,20,20,0,0,0,0,20,20,0,Rental,Private,,
Washington Street Project,West Roxbury,02132,20,0,20,17,0,17,3,0,3,Ownership,Private,,
Washington-Beech (2-13),Roslindale,02131,206,206,0,0,0,0,206,206,0,Rental,Pub/Priv,,Y
Waterford Place,South End,02118,40,40,0,14,14,0,26,26,0,Rental,Private,,
Watermark Seaport Apartments,South Boston,02210,346,346,0,301,301,0,45,45,0,Rental,Private,,
Waterstone at the Circle,Allston/Brighton,02135,92,92,0,80,80,0,12,12,0,Rental - Elderly,Private,Y,
Waterview Apartments,South Boston,02127,49,49,0,0,0,0,49,49,0,Rental - Elderly,Private,Y,Y
Watson,Dorchester,02124,2,2,0,0,0,0,2,2,0,Rental,Private,,
Waverly Abby-Bridge Over Troubled Waters,Allston/Brighton,02134,28,28,0,0,0,0,28,28,0,Rental - Homeless,Private,,
Waverly Homes II,Roxbury,02119,9,2,7,0,0,0,9,2,7,Ownership/Rental,Private,,
Wayland Street Homes,Roxbury,02125,6,0,6,0,0,0,6,0,6,Ownership,Private,,
Wayne Apartments,Roxbury,02119,74,74,0,0,0,0,74,74,0,Rental,Private,,Y
Wayne at Bicknell,Roxbury,02121,72,72,0,0,0,0,72,72,0,Rental,Private,,
Wayne at Blue Hill,Mattapan,02126,48,48,0,0,0,0,48,48,0,Rental,Private,,Y
Wayne at Columbia,Dorchester,02125,83,83,0,0,0,0,83,83,0,Rental,Private,,Y
Wayne at Franklin,Mattapan,02124,72,72,0,0,0,0,72,72,0,Rental,Private,,Y
Webster School,East Boston,02128,24,0,24,15,0,15,9,0,9,Ownership,Private,,
Weld Park Apts,Roslindale,02131,14,14,0,0,0,0,14,14,0,Rental - Elderly,Private,Y,Y
Wellington Hill Phase I,Mattapan,02126,23,9,14,0,0,0,23,9,14,Ownership/Rental,Private,,
Wellington Hill Phase II,Mattapan,02126,8,3,5,0,0,0,8,3,5,Ownership/Rental,Private,,
Welsh,Allston/Brighton,02135,1,1,0,0,0,0,1,1,0,Rental,Private,,
West Broadway/D St (200-1),South Boston,02127,484,484,0,0,0,0,484,484,0,Rental,Public,,
West Cottage St Condominiums,Roxbury,02125,4,0,4,0,0,0,4,0,4,Ownership,Private,,
West Fenway Apts,Fenway/Kenmore,02115,48,48,0,0,0,0,48,48,0,Rental,Private,,Y
West Fenway Elderly,South Boston,02118,5,5,0,0,0,0,5,5,0,Rental - Elderly,Private,Y,
West Newton Street (2-58),South End,02118,149,149,0,0,0,0,149,149,0,Rental,Public,,
West Ninth Street (2-36),South Boston,02127,84,84,0,0,0,0,84,84,0,Rental - Elderly,Public,Y,
West Roxbury Residences,West Roxbury,02132,4,4,0,0,0,0,4,4,0,Rental,Private,,
West Square,South Boston,02127,255,255,0,222,222,0,33,33,0,Rental,Private,,
Westland Avenue Apartments,Fenway/Kenmore,02115,96,96,0,35,35,0,61,61,0,Rental,Private,,Y
Westminster Court,Roxbury,02119,70,70,0,0,0,0,70,70,0,Rental,Private,,
Westminster Place,Roxbury,02119,34,34,0,0,0,0,34,34,0,Rental,Private,,
Whittier Place,Dorchester,02124,44,44,0,0,0,0,44,44,0,Rental,Private,,
Whittier Street (2-11),Roxbury,02120,200,200,0,0,0,0,200,200,0,Rental,Public,,
Wilder Gardens,Roxbury,02121,61,61,0,51,51,0,10,10,0,Rental,Private,,Y
Wilkes Passage Loft Condominium,South End,02118,155,0,155,135,0,135,20,0,20,Ownership,Private,,
Williams,Roxbury,02119,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Wilshire Apartments,Roxbury,02121,29,29,0,0,0,0,29,29,0,Rental,Private,,Y
Winslow Court (including c.705 units),Roxbury,02119,24,5,19,0,0,0,24,5,19,Ownership/Rental,Private,,
Winston/Harwood (689-?),Mattapan,02124,10,0,10,0,0,0,10,0,10,Ownership,Public,,
Wood,Dorchester,02124,1,1,0,0,0,0,1,1,0,Rental,Private,,
Woodbourne Elderly Apts,Roslindale,02130,76,76,0,1,1,0,75,75,0,Rental - Elderly,Private,Y,Y
Woodbury Cunard Building,East Boston,02128,17,17,0,0,0,0,17,17,0,Rental - Elderly,Private,Y,Y
Woodledge,Roxbury,02125,129,129,0,0,0,0,129,129,0,Rental,Private,,Y
Woodledge/Granfield (Roslindale),Roslindale,02131,6,6,0,0,0,0,6,6,0,Rental,Private,,
Woodward Park - North - Home Again,Roxbury,02125,10,0,10,0,0,0,10,0,10,Ownership,Private,,
Woodward Park II - HOME AGAIN,Roxbury,02125,11,0,11,0,0,0,11,0,11,Ownership,Private,,
Worcester House,Back Bay/Beacon Hill,02116,16,16,0,0,0,0,16,16,0,Rental - SRO,Private,,
Worcester Square,South End,02118,31,31,0,0,0,0,31,31,0,Rental,Private,,
Wrentham St School,Jamaica Plain,02120,8,8,0,0,0,0,8,8,0,Rental,Private,,
x A Street,South Boston,02127,25,0,25,22,0,22,3,0,3,Ownership,Private,,
x A Street Front,South Boston,02127,48,0,48,44,0,44,4,0,4,Ownership,Private,,
x Adams Street,Dorchester,02122,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Albany Street,South End,02118,40,0,40,35,0,35,5,0,5,Ownership,Private,,
x Algonquin St,Dorchester,02124,9,9,0,1,1,0,8,8,0,Rental,Private,,
x Alpine Street,Roxbury,02119,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Alvah Kittredge Park,Roxbury,02119,4,2,2,3,1,2,1,1,0,Ownership/Rental,Private,,
x American Legion Highway (AOP),Roslindale,02131,8,8,0,0,0,0,8,8,0,Rental,Private,,
x Amory Ave,Roxbury,02119,39,39,0,0,0,0,39,39,0,Rental,Private,,
x Amory St,Roxbury,02119,12,12,0,10,10,0,2,2,0,Rental,Private,,
x Arbutus (YouthBuild),Mattapan,02124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
2 Ashland St,Dorchester,02122,6,6,0,0,0,0,6,6,0,Rental,Public,,
x Astoria Street,Mattapan,02126,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Athens St,South Boston,02127,15,0,15,13,0,13,2,0,2,Ownership,Private,,
x B Street,South Boston,02127,3,0,3,2,0,2,1,0,1,Ownership,Private,,
0 Batchelder St,Roxbury,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Public,,
x Beach St. Loft Condominium,Central,02111,44,0,44,41,0,41,3,0,3,Ownership,Private,,
x Beacon St,Fenway/Kenmore,02215,32,32,0,28,28,0,4,4,0,Rental,Private,,
x Bellevue Street,Dorchester,02125,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Bennington St,East Boston,02128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Bennington St (AOP),East Boston,02128,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Birch Rd,West Roxbury,02122,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Blue Hill Ave,Roxbury,02119,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
115 Boardman St,East Boston,02128,6,6,0,0,0,0,6,6,0,Rental,Public,,
23 Bowdoin St,Dorchester,02124,3,3,0,0,0,0,3,3,0,Rental,Public,,
x Boylston St,Fenway/Kenmore,02215,199,199,0,189,189,0,10,10,0,Rental,Private,,
x Braintree Street,Allston/Brighton,02134,80,80,0,69,69,0,11,11,0,Rental,Private,,
x Bremen St,East Boston,02128,32,32,0,27,27,0,5,5,0,Rental,Private,,
x Bremen St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Broad Street,Central,02110,96,0,96,93,0,93,3,0,3,Ownership,Private,,
x Brooks St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Burbank Street,Fenway/Kenmore,02115,36,36,0,5,5,0,31,31,0,Rental,Private,,
x Bushnell St,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Cambridge St,Allston/Brighton,02134,44,0,44,38,0,38,6,0,6,Ownership,Private,,
x Cambridge Street,Allston/Brighton,02134,40,40,0,35,35,0,5,5,0,Rental,Private,,
x Cameron Street,Dorchester,02125,3,3,0,0,0,0,3,3,0,Rental,Private,,
8 Carlford St,Roslindale,02130,2,2,0,0,0,0,2,2,0,Rental,Public,,
x Catawba St - Youthbuild,Roxbury,02119,3,2,1,1,1,0,2,1,1,Ownership/Rental,Private,,
x Causeway Street,Central,02114,108,108,0,88,88,0,20,20,0,Rental,Private,,
225 Centre Street,Roxbury,02119,103,103,0,68,68,0,35,35,0,Rental,Pub/Priv,,
285 Cetnre Street,Jamaica Plain,02130,204,204,0,0,0,0,204,204,0,Rental,Public,,
x Chamblet Street,Roxbury,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Chaucer St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Chauncy Street Condominium,Central,02111,33,0,33,29,0,29,4,0,4,Ownership,Private,,
x Chelsea St (1-4 Program),East Boston,02128,4,0,4,0,0,0,4,0,4,Ownership,Private,,
x Chelsea Street,East Boston,02128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Chestnut Ave (1-4 Program),Jamaica Plain,02130,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Chestnut Hill Ave,Allston/Brighton,02135,21,21,0,18,18,0,3,3,0,Rental,Private,,
x Chipman St,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Clarkson St,Dorchester,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
62 Clifton St,Roxbury,02125,2,2,0,0,0,0,2,2,0,Rental,Public,,
x Coffey St,Dorchester,02122,46,46,0,43,43,0,3,3,0,Rental,Private,,
x Coleman St,Dorchester,02125,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
x Coleman St (1-4 Program),Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Coleman Street,Dorchester,02125,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Columbus Ave,Roxbury,02119,5,5,0,0,0,0,5,5,0,Rental,Private,,
x Columbus Ave Conversion,South End,02116,62,0,62,54,0,54,8,0,8,Ownership,Private,,
1990 Columbus Avenue,Roxbury,02119,165,165,0,0,0,0,165,165,0,Rental - Elderly,Public,Y,
x Commercial St,Central,02109,20,0,20,18,0,18,2,0,2,Ownership,Private,,
x Commonwealth Ave,Allston/Brighton,02135,80,80,0,70,70,0,10,10,0,Rental,Private,,
x Commonwealth Avenue,Allston/Brighton,02134,61,61,0,1,1,0,60,60,0,Rental,Private,,
x Congress Street,South Boston,02127,44,44,0,40,40,0,4,4,0,Rental,Private,,
x Corbet,Mattapan,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Corman Road,Mattapan,02126,2,1,1,1,0,1,1,0,1,Ownership,Private,,
x Cranston St,Jamaica Plain,02130,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Crawford Street SRO,Roxbury,02121,17,17,0,0,0,0,17,17,0,Rental - SRO,Private,,
x Cummins Highway,Mattapan,02126,32,32,0,0,0,0,32,32,0,Rental,Private,,
x D St,South Boston,02127,8,8,0,0,0,0,8,8,0,Rental,Private,,
x D Street,South Boston,02127,197,197,0,171,171,0,26,26,0,Rental,Private,,
x Dacia Street,Roxbury,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Devon Street,Roxbury,02121,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Dixwell St,Roxbury,02119,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Dorchester Ave,Dorchester,02124,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Dorchester St,South Boston,02127,30,0,30,26,0,26,4,0,4,Ownership,Private,,
x Draper St (BuildHOME),Dorchester,02122,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x Dudley St,Roxbury,02125,4,4,0,0,0,0,4,4,0,Rental,Private,,
x Dudley Street,Roxbury,02119,68,68,0,0,0,0,68,68,0,Rental,Private,,
x Dunlap Street,Dorchester,02124,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Dunreath St,Roxbury,02119,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x E Eagle Street (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x E Second St,South Boston,02127,16,0,16,14,0,14,2,0,2,Ownership,Private,,
x East Broadway,South Boston,02127,18,18,0,16,16,0,2,2,0,Rental,Private,,
x East Brookline,South End,02118,6,0,6,5,0,5,1,0,1,Ownership,Private,,
x East First,South Boston,02127,28,0,28,24,0,24,4,0,4,Ownership,Private,,
x East Second,South Boston,02127,20,20,0,17,17,0,3,3,0,Rental,Private,,
x East Second Street,South Boston,02127,13,12,1,12,0,12,1,0,1,Ownership/Rental,Private,,
x East Springfield St,South End,02118,5,5,0,0,0,0,5,5,0,Rental,Private,,Y
x East Third St,South Boston,02127,18,0,18,16,0,16,2,0,2,Ownership,Private,,
x Elizabeth St,Mattapan,02126,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Ellington St,Roxbury,02121,6,6,0,0,0,0,6,6,0,Cooperative,Private,,
x Elwyn Road,Dorchester,02124,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Esmond Street,Roxbury,02121,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x Eustis Street,Roxbury,02119,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Evans Street,Mattapan,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Everett St,East Boston,02128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Fairland St,Roxbury,02119,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
x Fairmount Ave,Hyde Park,02136,10,0,10,9,0,9,1,0,1,Ownership,Private,,
x Falcon St (AOP),East Boston,02128,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Fisher Ave,Jamaica Plain,02120,15,15,0,13,13,0,2,2,0,Rental,Private,,
x Fort Avenue,Roxbury,02119,13,13,0,0,0,0,13,13,0,Rental,Private,,
x Fottler,Mattapan,02126,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Garden St,Back Bay/Beacon Hill,02114,12,0,12,11,0,11,1,0,1,Ownership,Private,,
x Gaston,Roxbury,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Gladstone St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Glendon St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Glenway St,Roxbury,02121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Gordon Avenue,Hyde Park,02136,2,0,2,0,0,0,2,0,2,Ownership,Private,,
x Green Street,Jamaica Plain,02130,21,0,21,18,0,18,3,0,3,Ownership,Private,,
x Greenbrier St (BuildHome),Dorchester,02124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x Greenwich Park,South End,02118,5,5,0,0,0,0,5,5,0,Rental,Private,,
x Harold Street,Roxbury,02119,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Harrishof St,Roxbury,02121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Harrison Ave,Roxbury,02119,15,15,0,0,0,0,15,15,0,Rental,Private,,
x Harrison Ave Condos,South End,02118,39,0,39,36,0,36,3,0,3,Ownership,Private,,
x Harvard Street,Roxbury,02124,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Hawthorne Pl,Central,02114,480,0,480,479,0,479,1,0,1,Ownership/Rental,Private,,
x Hawthorne Street,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Hemenway,Fenway/Kenmore,02115,14,14,0,0,0,0,14,14,0,Rental,Private,,
x Hemenway Coop,Fenway/Kenmore,02115,24,24,0,11,11,0,13,13,0,Cooperative,Private,,
x Hendry St,Dorchester,02122,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Highland St E+,Roxbury,02119,4,0,4,3,0,3,1,0,1,Ownership,Private,,
x Highland Street,Roxbury,02119,5,0,5,4,0,4,1,0,1,Ownership,Private,,
x Holborn Terrace,Roxbury,02121,8,8,0,0,0,0,8,8,0,Rental,Private,,
x Hollander Street,Roxbury,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Homes Ave Development,Dorchester,02122,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Hosmer St,Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
x House (SPO),Dorchester,02122,12,12,0,0,0,0,12,12,0,Rental,Private,,
x Howard Ave,Roxbury,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Huckins St,Roxbury,02119,4,4,0,0,0,0,4,4,0,Cooperative,Private,,
x Humboldt,Roxbury,02121,16,16,0,3,3,0,13,13,0,Rental,Private,,
x Humboldt Avenue,Roxbury,02121,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Humboldt Avenue-202,Roxbury,02121,12,12,0,0,0,0,12,12,0,Rental - Elderly,Private,Y,
x Huntington Avenue,Jamaica Plain,02120,37,37,0,0,0,0,37,37,0,Rental,Private,,
x Hutchings Street,Roxbury,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Hyde Park Ave,Roslindale,02131,8,0,8,0,0,0,8,0,8,Ownership,Private,,
x Hyde Park Avenue,Hyde Park,02136,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Intervale St,Roxbury,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Itasca Street,Mattapan,02126,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Juniper Street,Roxbury,02119,4,3,1,1,1,0,3,2,1,Ownership/Rental,Private,,
x Kingsdale St,Roxbury,02124,3,1,2,1,0,1,2,1,1,Ownership/Rental,Private,,
x Landor Road,Mattapan,02126,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Lawrence Avenue,Roxbury,02121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Leighton Rd,Hyde Park,02136,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Levant St,Dorchester,02122,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Lexington St (1-4 Program),East Boston,02128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Lexington/x Putnam (1-4),East Boston,02128,4,0,4,0,0,0,4,0,4,Ownership,Private,,
x Leyden St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Lorne Street,Mattapan,02124,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Magnolia St,Roxbury,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Mallon Road,Dorchester,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Malvern St,Allston/Brighton,02134,48,48,0,42,42,0,6,6,0,Rental,Private,,
x Manor St,Dorchester,02122,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Marion Place,East Boston,02128,1,0,1,0,0,0,1,1,0,Ownership,Private,,
x Marion St,East Boston,02128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Market Street,Allston/Brighton,02135,39,39,0,34,34,0,5,5,0,Rental,Private,,
x Mass Ave,South End,02118,18,18,0,0,0,0,18,18,0,Rental - SRO,Private,,
x Massachusetts Avenue,South End,02118,10,0,10,8,0,8,2,0,2,Ownership,Private,,
x Maverick St,East Boston,02128,33,0,33,29,0,29,4,0,4,Ownership,Private,,
x Maverick St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Maywood Street,Roxbury,02119,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
x Medford St,Charlestown,02129,3,0,3,0,0,0,3,0,3,Ownership,Private,,
x Metropolitan Ave,Hyde Park,02136,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Milton Street,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Minden St,Jamaica Plain,02130,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Minden Street,Jamaica Plain,02130,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Miner Street,Fenway/Kenmore,02215,49,49,0,43,43,0,6,6,0,Rental,Private,,
x Monsignor Way,Dorchester,02124,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Morris Street (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Morse Street,Roxbury,02121,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Mountfort St,Fenway/Kenmore,02215,37,37,0,33,33,0,4,4,0,Rental,Private,,
x Mt. Pleasant Ave SRO,Roxbury,02119,20,20,0,0,0,0,20,20,0,Rental - SRO,Private,,
x Mt. Pleasant Avenue,Roxbury,02119,8,8,0,0,0,0,8,8,0,Rental,Private,,
x Murray Ave,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Murray Ave (1-4),Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Nelson Street,Mattapan,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Neponset Ave,Dorchester,02122,22,22,0,19,19,0,3,3,0,Rental,Private,,
x Newbury,Back Bay/Beacon Hill,02115,54,0,54,49,0,49,5,0,5,Ownership,Private,,
x Nightingale Street,Roxbury,02124,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Norfolk Street,Mattapan,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x North Ave/YouthBuild,Roxbury,02119,1,1,0,0,0,0,1,1,0,Rental,Private,,
x Northampton Apts,South End,02118,9,9,0,0,0,0,9,9,0,Rental,Private,,
x Norwell St - YouthBuild,Dorchester,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Norwell Street,Dorchester,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Old Colony Ave,South Boston,02127,14,0,14,12,0,12,2,0,2,Ownership,Private,,
x Otisfield St (BuildHome),Roxbury,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Page St,Roxbury,02121,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Park Drive,Fenway/Kenmore,02215,21,0,21,18,0,18,3,0,3,Ownership,Private,,
