Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
MHPI IV-A,Jamaica Plain,02130,10,10,0,0,0,0,10,10,0,Rental,Private,,Y
MHPI IV-B,Roxbury,02119,10,10,0,0,0,0,10,10,0,Rental,Private,,Y
MHPI IV-C,Dorchester,02124,12,12,0,0,0,0,12,12,0,Rental,Private,,
MHPI V,Dorchester,02121,16,16,0,0,0,0,16,16,0,Rental,Private,,
MHPI VI,Dorchester,02125,15,15,0,0,0,0,15,15,0,Rental,Private,,
Midway Phase I,South Boston Waterfront,02127,44,0,44,38,0,38,6,0,6,Ownership,Private,,
Midway Studios,South Boston Waterfront,02127,89,89,0,53,53,0,36,36,0,Rental,Private,,
Miller (VUP),Dorchester,02122,1,1,0,0,0,0,1,1,0,Rental,Private,,
Ming's Restaurant,South End,02118,38,38,0,37,37,0,1,1,0,Rental,Private,,
Minot Hall Condominium,South End,02118,45,0,45,42,0,42,3,0,3,Ownership,Private,,
Mishawum Assisted Living,Charlestown,02129,66,66,0,33,33,0,33,33,0,Rental,Private,Y,Y
Mishawum Park,Charlestown,02129,337,337,0,0,0,0,337,337,0,Rental,Private,,Y
Mission Hill Flats,Mission Hill,02120,40,40,0,35,35,0,5,5,0,Rental,Private,,
Mission Hill Phase I - HOME AGAIN,Mission Hill,02120,22,6,16,0,0,0,22,6,16,Ownership/Rental,Private,,
Mission Hill Phase II,Mission Hill,02130,34,34,0,0,0,0,34,34,0,Rental,Private,,
Mission Hill Scattered Sites,Mission Hill,02120,21,0,21,16,0,16,5,0,5,Ownership,Private,,
Mission Hill-Phase III - Home Again,Mission Hill,02120,24,6,18,0,0,0,24,6,18,Ownership/Rental,Private,,
Mission Main Phase I,Mission Hill,02120,310,310,0,51,51,0,259,259,0,Rental,Private,,
Mission Main Phase II,Mission Hill,02120,139,139,0,25,25,0,114,114,0,Rental,Private,,
Mission Main Phase III,Mission Hill,02120,86,86,0,14,14,0,72,72,0,Rental,Private,,
Mission Park,Mission Hill,02115,775,775,0,0,0,0,775,775,0,Rental,Private,Y,Y
MLK/Washington Commons,Roxbury,02119,49,0,49,21,0,21,28,0,28,Ownership,Private,,
Monsignor Lyons Condo II,South Boston,02127,6,0,6,0,0,0,6,0,6,Ownership,Private,,
Monsignor Lyons II- HOME AGAIN,South Boston,02127,6,0,6,0,0,0,6,0,6,Ownership,Private,,
Monsignor Lyons Townhouses,South Boston,02127,10,0,10,0,0,0,10,0,10,Ownership,Private,,
Montebello Rd Coop,Jamaica Plain,02130,7,7,0,0,0,0,7,7,0,Cooperative,Private,,
Moore (VUP),Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Moreland St Apts,Roxbury,02119,12,12,0,0,0,0,12,12,0,Rental,Private,,
Morton Apts,Dorchester,02124,24,24,0,0,0,0,24,24,0,Rental,Private,,Y
Morton Village Apts (AOP),Mattapan,02126,207,207,0,0,0,0,207,207,0,Rental,Private,,
Morville House,Fenway,02115,147,147,0,0,0,0,147,147,0,Rental,Private,Y,Y
Mount Vernon St Housing Project (Phase 1),Dorchester,02125,205,205,0,183,183,0,22,22,0,Rental,Private,,
Mr. Lee's Lodge,Roxbury,02119,17,17,0,1,1,0,16,16,0,Rental,Private,,
Msgr. Powers/L St. (667-3),South Boston,02127,68,68,0,0,0,0,68,68,0,Rental,Public,Y,
Mt Pleasant Apts,Roxbury,02119,98,98,0,0,0,0,98,98,0,Rental,Private,,Y
Mt Pleasant Home Inc.,Jamaica Plain,02199,60,60,0,22,22,0,38,38,0,Rental,Private,,
Mt. Bowdoin/Erie Ellington - HOME AGAIN,Dorchester,02121,16,6,10,0,0,0,16,6,10,Ownership/Rental,Private,,
Munevar (VUP),Jamaica Plain,02130,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
Mystic Studios,South End,02118,32,32,0,26,26,0,6,6,0,Rental,Private,,
Nashua St Residences at the Fleet Center,West End,02114,503,503,0,473,473,0,30,30,0,Rental,Private,,
Nate Smith House,Jamaica Plain,02130,44,44,0,0,0,0,44,44,0,Rental,Private,Y,
Nazing Court,Roxbury,02121,151,151,0,0,0,0,151,151,0,Rental,Private,,
NEBH Redevelopment,Mission Hill,02120,75,75,0,60,60,0,15,15,0,Rental,Private,Y,
NEMA Boston,South Boston Waterfront,02127,414,414,0,360,360,0,54,54,0,Rental,Private,,
Neponset Fields - Elderly Housing (202),Hyde Park,02136,31,31,0,1,1,0,30,30,0,Rental,Private,Y,
New England Heritage Homes 1,Dorchester,02124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
New England Heritage Homes 2,Dorchester,02124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
New England Heritage Homes 3,Dorchester,02124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
New England Heritage Homes 4,Dorchester,02124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
New England Heritage Homes 5,Dorchester,02124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
New England Heritage Homes 6,Dorchester,02124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
New England Heritage Homes 7,Dorchester,02124,16,0,16,0,0,0,16,0,16,Ownership,Private,,
New Port Antonio Apts,Roxbury,02119,227,227,0,0,0,0,227,227,0,Rental,Private,,Y
Newcastle/Saranac,Roxbury,02127,97,97,0,48,48,0,49,49,0,Rental,Private,,Y
Nor-al,Dorchester,02124,57,57,0,0,0,0,57,57,0,Rental,Private,,Y
Norfield,Dorchester,02121,45,45,0,0,0,0,45,45,0,Rental,Private,,Y
Norflett (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Norfolk Street Transitional,Mattapan,02126,3,3,0,0,0,0,3,3,0,Rental,Private,,
North Suffolk Group Home,East Boston,02128,28,28,0,0,0,0,28,28,0,Rental,Private,,
North Suffolk Group Home 2,Hyde Park,02136,28,28,0,0,0,0,28,28,0,Rental,Private,,
Northampton Street,Roxbury,02118,32,0,32,26,0,26,6,0,6,Ownership,Private,,
Northampton Tower,Roxbury,02118,347,347,0,86,86,0,261,261,0,Rental,Private,,
Northampton/Mass. Ave,Roxbury,02118,12,12,0,0,0,0,12,12,0,Rental,Private,,
Norway Housing,Fenway,02115,136,136,0,0,0,0,136,136,0,Rental,Private,Y,Y
Norwell Townhouses,Dorchester,02124,8,4,4,0,0,0,8,4,4,Ownership/Rental,Private,,
Norwell Whitfield (HOME AGAIN),Dorchester,02124,20,2,18,0,0,0,20,2,18,Ownership/Rental,Private,,
Nu Life Development,Dorchester,02121,16,0,16,0,0,0,16,0,16,Ownership,Private,,
OAK ROW,West Roxbury,02132,80,80,0,70,70,0,10,10,0,Rental,Private,,
Oak Terrace,Chinatown,02111,88,88,0,0,0,0,88,88,0,Rental,Private,Y,Y
O'Connor Way [Pier 4/Phase III Offsite Affordables],South Boston,02127,47,47,0,1,1,0,46,46,0,Rental,Private,Y,
Off Centre Lofts,Jamaica Plain,02130,21,21,0,19,19,0,2,2,0,Rental,Private,,
Old Colony (2-24),South Boston,02127,873,873,0,0,0,0,873,873,0,Rental,Public,,
Old Colony Square,South Boston,02127,24,0,24,21,0,21,3,0,3,Ownership,Private,,
Oliveira (VUP),Dorchester,02125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Olmstead Green Phase 2,Mattapan,02124,50,50,0,0,0,0,50,50,0,Rental,Private,,
Olmstead Green Phase I Rental,Mattapan,02124,51,51,0,0,0,0,51,51,0,Rental,Private,,
Olmsted Green - Mixed Income Rental,Mattapan,02124,100,100,0,60,60,0,40,40,0,Rental,Private,,
Olmsted Green Phase 4,Mattapan,02124,47,47,0,0,0,0,47,47,0,Rental,Private,,
Olmsted Green Rental Housing Phase 3,Mattapan,02124,50,50,0,0,0,0,50,50,0,Rental,Private,,
Olmsted Place,Jamaica Plain,02115,196,196,0,159,159,0,37,37,0,Rental,Private,,
On Luck Housing,Chinatown,02111,75,75,0,1,1,0,74,74,0,Rental,Private,Y,Y
One Canal,West End,02114,310,310,0,290,290,0,20,20,0,Rental,Private,,
One Garden Condominium,Beacon Hill,02114,12,0,12,11,0,11,1,0,1,Ownership,Private,,
One Greenway (Parcel 24 North/Affordable),Chinatown,02111,312,312,0,217,217,0,95,95,0,Rental,Private,,Y
One Lenox (SPO),Roxbury,02118,26,26,0,1,0,1,25,25,0,Rental,Private,,
One Lincoln Plaza,Leather District,02111,85,0,85,74,0,74,11,0,11,Ownership,Private,,
One Newcomb Place,Roxbury,02118,23,23,0,20,20,0,3,3,0,Rental,Private,,
Orchard Gardens,Roxbury,02119,331,331,0,49,49,0,282,282,0,Rental,Public,,
Orchard Park (Off-Site Phase I),Roxbury,02119,78,78,0,14,14,0,64,64,0,Rental,Private,,
Orient Heights (200-8),East Boston,02128,331,331,0,0,0,0,331,331,0,Rental,Public,,
Otis Field Estates,Roxbury,02121,10,0,10,0,0,0,10,0,10,Ownership,Private,,
Owens (VUP),Dorchester,02121,2,2,0,0,0,0,2,2,0,Rental,Private,,
Oxford Ping On,Chinatown,02111,67,67,0,1,1,0,66,66,0,Rental,Private,,
Oxford Place,Chinatown,02111,39,39,0,0,0,0,39,39,0,Rental,Private,,Y
Packard Crossing Phase I,Allston,02134,38,38,0,33,33,0,5,5,0,Rental,Private,,
Parcel 24/South Homeownership,Chinatown,02111,51,0,51,0,0,0,51,0,51,Ownership,Private,,
Parcel 25 (Phase 1A),Mission Hill,02120,40,40,0,0,0,0,40,40,0,Rental,Private,,
Parcel 39A,Charlestown,02129,54,0,54,43,0,43,11,0,11,Ownership,Private,,
Parcel P-2,Charlestown,02129,21,0,21,14,0,14,7,0,7,Ownership,Private,,
Parcel R-8,Roxbury,02118,3,0,3,2,0,2,1,0,1,Ownership,Private,,
Parcel U (Phase A & C),Jamaica Plain,02130,102,78,24,21,0,21,81,78,3,Ownership/Rental,Private,,
Parcel U (Phase B),Jamaica Plain,02130,30,0,30,26,0,26,4,0,4,Ownership,Private,,
Paris Village,East Boston,02128,32,32,0,0,0,0,32,32,0,Rental,Private,,
Park Cinema,Dorchester,02122,38,38,0,0,0,0,38,38,0,Rental,Private,,Y
Park Congregate,Dorchester,02124,18,18,0,0,0,0,18,18,0,Rental,Private,Y,
Park Gardens,Roxbury,02119,38,38,0,0,0,0,38,38,0,Rental,Private,,Y
Park Lane Seaport Apartments (Massport Parcels G & J),South Boston Waterfront,02127,465,112,353,447,97,350,18,15,3,Ownership,Private,,
Parker Hill Apts,Mission Hill,02120,90,90,0,0,0,0,90,90,0,Rental,Private,,
Parkside on Adams,Roslindale,02131,43,43,0,37,37,0,6,6,0,Rental,Private,,
Parkview SRO,Fenway,02115,61,61,0,0,0,0,61,61,0,Rental,Private,,
Parkway Apartments,West Roxbury,02132,254,254,0,221,221,0,33,33,0,Rental,Private,,
Parmelee Court,Roxbury,02118,74,74,0,25,25,0,49,49,0,Rental,Private,,
Parry (VUP),Roxbury,02121,2,2,0,0,0,0,2,2,0,Rental,Private,,
Pasciucco Apts (2-54),Dorchester,02125,92,92,0,0,0,0,92,92,0,Rental,Public,Y,
Pass (VUP),Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Patricia White (2-71),Brighton,02135,225,225,0,0,0,0,225,225,0,Rental,Public,Y,
Patrick (VUP),Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
PBX Residences,Chinatown,02111,46,46,0,39,39,0,7,7,0,Rental,Private,,
Peabody Building,Dorchester,02124,18,18,0,7,7,0,11,11,0,Rental,Private,,
Peabody Square/Englewood (2-83),Dorchester,02124,103,103,0,0,0,0,103,103,0,Rental,Public,Y,
Penniman on the Park,Allston,02134,36,0,36,30,0,30,6,0,6,Ownership,Private,,
Penny Savings,South End,02118,23,0,23,21,0,21,2,0,2,Ownership,Private,,
Pereira (VUP),Dorchester,02125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Perkins (VUP),Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Peterborough Housing,Fenway,02215,220,220,0,0,0,0,220,220,0,Rental,Private,,Y
Peters (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Phillips Brooks School,Dorchester,02121,56,56,0,0,0,0,56,56,0,Rental,Private,,
Pickle Factory (Oliver Lofts),Mission Hill,02120,62,62,0,19,19,0,43,43,0,Rental,Private,,
Pine Street Harrison (SPO),South End,02118,11,11,0,0,0,0,11,11,0,Rental,Private,,
Pine Street Inn (689-1),South End,02118,150,150,0,0,0,0,150,150,0,Rental,Public,,
Pine Street Park Dr (SPO),Fenway,02215,22,22,0,0,0,0,22,22,0,Rental,Private,,
Pinnock (VUP),Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Pond View Apartments,Jamaica Plain,02130,60,60,0,4,4,0,56,56,0,Rental,Private,,Y
Port 45,South Boston,02127,104,0,104,91,0,91,13,0,13,Ownership,Private,,
Portis Family House,Jamaica Plain,02115,7,7,0,0,0,0,7,7,0,Rental,Private,,
Powell (VUP),Roxbury,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Prang Estates,Roxbury,02119,33,33,0,0,0,0,33,33,0,Rental,Private,,
Project Family Independence,Roxbury,02119,15,15,0,0,0,0,15,15,0,Rental,Private,,
Putnam Place,Roxbury,02121,9,1,8,2,0,2,7,1,6,Ownership/Rental,Private,,
Quincy Commons,Roxbury,02119,40,40,0,0,0,0,40,40,0,Rental,Private,Y,
Quincy Heights,Dorchester,02121,129,129,0,0,0,0,129,129,0,Rental,Private,,Y
Quincy Tower,Chinatown,02116,161,161,0,0,0,0,161,161,0,Rental,Private,Y,
RAP-UP I,Roxbury,02119,33,33,0,0,0,0,33,33,0,Rental,Private,,Y
RAP-UP II B,Roxbury,02119,51,51,0,0,0,0,51,51,0,Rental,Private,,Y
Raven-Ramsey-Folsom,Dorchester,02125,7,4,3,1,0,1,6,3,3,Ownership/Rental,Private,,
Reddick (VUP),Roxbury,02119,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Renwood-Cunard,Roxbury,02120,17,17,0,0,0,0,17,17,0,Rental,Private,,
Reservoir Towers,Brighton,02135,242,242,0,0,0,0,242,242,0,Rental,Private,Y,Y
Residences At Bigelow Court,Brighton,02135,26,0,26,23,0,23,3,0,3,Ownership/Rental,Private,,
Residences at Brighton Marine,Brighton,02135,102,102,0,0,0,0,102,102,0,Rental,Private,,
Residences at Dahlgren Hall,South Boston,02127,18,0,18,16,0,16,2,0,2,Ownership,Private,,
Residences at Fairmount Station,Hyde Park,02136,27,27,0,0,0,0,27,27,0,Rental,Private,,
Riley House - 202,Hyde Park,02136,41,41,0,1,1,0,40,40,0,Rental,Private,Y,
Rivers Edge Condominiums,Mattapan,02126,62,62,0,56,56,0,6,6,0,Rental,Private,,
RMSC Family House Shelter Conversion,Dorchester,02121,8,8,0,0,0,0,8,8,0,Rental,Private,,
Robert L. Fortes House,Roxbury,02118,44,44,0,0,0,0,44,44,0,Rental,Private,Y,Y
Robinson (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Rockingham Glen,West Roxbury,02132,143,143,0,100,100,0,43,43,0,Rental,Private,,
Rockland 202: Warren Gardens,Roxbury,02119,40,40,0,0,0,0,40,40,0,Rental,Private,Y,
Rockland Towers (2-50),West Roxbury,02132,69,69,0,0,0,0,69,69,0,Rental,Public,Y,
Rockvale Circle,Jamaica Plain,02130,30,30,0,15,15,0,15,15,0,Cooperative,Private,,
Rodrigues (VUP),Jamaica Plain,02130,2,2,0,1,1,0,1,1,0,Rental,Private,,
Rollins Square - Parcel 32C,South End,02118,184,37,147,74,0,74,110,37,73,Ownership/Rental,Private,?,
Rope Walk Complex,Charlestown,02129,97,97,0,84,84,0,13,13,0,Rental,Private,,
Roslindale Commons Condominiums,Roslindale,02131,12,0,12,11,0,11,1,0,1,Ownership,Private,,
Roslindale School,Roslindale,02131,84,84,0,0,0,0,84,84,0,Rental,Private,Y,Y
Roslindale Senior NP Hsg,Roslindale,02131,80,80,0,1,1,0,79,79,0,Rental,Private,Y,
Roslyn/Cliffmont,Roslindale,02131,118,118,0,0,0,0,118,118,0,Rental,Public,Y,
Roxbury Corners Coop,Roxbury,02118,54,54,0,13,13,0,41,41,0,Rental,Private,,
Roxbury Crossing Senior Building,Mission Hill,02120,40,40,0,1,1,0,39,39,0,Rental,Private,Y,
Roxbury Tenants of Harvard,Mission Hill,02115,20,20,0,7,7,0,13,13,0,Rental,Private,,
Roxse Homes,Roxbury,02118,346,346,0,0,0,0,346,346,0,Rental,Private,,Y
R-Prospect St,Charlestown,02129,14,0,14,11,0,11,3,0,3,Ownership,Private,,
RTH Restoration Housing,Mission Hill,02115,81,81,0,0,0,0,81,81,0,Rental,Private,Y,Y
Ruggles Shawmut Housing,Roxbury,02119,43,43,0,0,0,0,43,43,0,Rental,Private,?,Y
Rutherford Landing,Charlestown,02129,18,18,0,16,16,0,2,2,0,Rental,Private,,
Rutland Square,South End,02118,5,5,0,0,0,0,5,5,0,Rental,Private,,
Rutland/East Springfield St (2-74),South End,02118,13,13,0,0,0,0,13,13,0,Rental,Public,,
S Boston Hsg Initiative- Habitat,South Boston,02127,7,0,7,0,0,0,7,0,7,Ownership,Private,,
Safe Haven,Back Bay,02116,6,6,0,0,0,0,6,6,0,Rental,Private,,
Sarah Baker Manor,Roxbury,02119,41,41,0,0,0,0,41,41,0,Rental,Private,Y,Y
Saratoga Heights,East Boston,02128,21,0,21,18,0,18,3,0,3,Ownership,Private,,
Sargent Prince SRO,Roxbury,02119,29,29,0,0,0,0,29,29,0,Rental,Private,,
Sargent Street Homes - Home Again,Roxbury,02125,16,5,11,0,0,0,16,5,11,Ownership/Rental,Private,,
Savin Hill Apartments,Dorchester,02125,132,132,0,0,0,0,132,132,0,Rental,Private,Y,Y
Savin Maywood Init. (Phase II),Roxbury,02119,8,0,8,0,0,0,8,0,8,Ownership,Private,,
Savin/Creston Project,Roxbury,02119,28,28,0,2,2,0,26,26,0,Rental,Private,,
Savin/Maywood (Phase III) - Home Again,Roxbury,02119,5,0,5,0,0,0,5,0,5,Ownership,Private,,
Scattered Site Coop,Jamaica Plain,02130,18,18,0,3,3,0,15,15,0,Cooperative,Private,,
School House 77,Roxbury,02119,38,38,0,0,0,0,38,38,0,Rental,Private,?,
Schoolhouse Brookledge,Mattapan,02126,90,90,0,0,0,0,90,90,0,Rental,Private,Y,Y
Seaport Square Parcels B & C,South Boston Waterfront,02210,832,832,0,736,736,0,96,96,0,Rental,Private,,
SECD Housing,Roxbury,02118,10,10,0,0,0,0,10,10,0,Rental,Private,,Y
SECHC Cumston St,South End,02118,58,0,58,51,0,51,7,0,7,Ownership,Private,,
SETH APARTMENTS I,South End,02118,185,185,0,0,0,0,185,185,0,Rental,Private,,Y
Seton Manor,Brighton,02135,19,19,0,0,0,0,19,19,0,Rental,Private,,
Shalom Properties,East Boston,02128,30,30,0,0,0,0,30,30,0,Rental,Private,,
Shawmut Ave Lodging House,South End,02118,15,15,0,0,0,0,15,15,0,Rental,Private,,
Shawmut Estates (p/o Orchard Park offsite Phase 3 HO),Roxbury,02119,15,0,15,0,0,0,15,0,15,Ownership,Private,,
Shore Plaza East,East Boston,02128,380,380,0,0,0,0,380,380,0,Rental,Private,,Y
Signal Building,South Boston,02127,75,0,75,66,0,66,9,0,9,Ownership,Private,,
Singleton (VUP),East Boston,02128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Siochain II,East Boston,02128,6,6,0,0,0,0,6,6,0,Rental,Private,,
Siochain Rental Rehab Project I,East Boston,02128,12,12,0,1,1,0,11,11,0,Rental,Private,,
Sister Clara Co-op,Dorchester,02125,25,25,0,0,0,0,25,25,0,Rental,Private,,
Six55 Condominium,South Boston,02127,18,0,18,16,0,16,2,0,2,Ownership,Private,,
Smith House,Roxbury,02119,132,132,0,0,0,0,132,132,0,Rental,Private,Y,
"Smith, Steven (VUP)",Dorchester,02121,1,1,0,0,0,0,1,1,0,Rental,Private,,
Soares (VUP),Roxbury,02125,1,1,0,0,0,0,1,1,0,Rental,Private,,
Soldiers Field Rd Offsite Affordable,Allston/Brighton,02135,38,0,38,0,0,0,38,0,38,Ownership,Private,,
"Sonoma, Maple, Schuyler",Roxbury,02121,115,115,0,15,15,0,100,100,0,Rental,Private,,Y
Sophia Snow House,West Roxbury,02132,102,102,0,0,0,0,102,102,0,Rental,Private,?,
South Bay Mixed-Use Town Center (Building D),Dorchester,02125,260,260,0,226,226,0,34,34,0,Rental,Private,,
South Boston Coop Svc Hsg,South Boston,02127,65,65,0,0,0,0,65,65,0,Rental,Private,Y,
South Boston Elderly Housing,South Boston,02127,50,50,0,0,0,0,50,50,0,Rental,Private,Y,
South Boston Housing Initiative - Cityside,South Boston,02127,5,0,5,0,0,0,5,0,5,Ownership,Private,,
South Boston Portfolio,South Boston,02127,27,27,0,0,0,0,27,27,0,Rental,Private,,
South Cove Apts,Downtown,02109,231,231,0,2,2,0,229,229,0,Rental,Private,Y,Y
South End Apartments,Roxbury,02120,27,27,0,0,0,0,27,27,0,Rental,Private,,Y
SOUTH END APARTMENTS RENOVATION PROJECT,Roxbury,02118,5,5,0,0,0,0,5,5,0,Rental,Private,,
South End CHC,South End,02118,60,2,58,54,0,54,6,2,4,Ownership/Rental,Private,,
South End Coop. Housing,South End,02118,75,75,0,2,2,0,73,73,0,Rental,Private,,
South End Tenants I,South End,02118,100,100,0,0,0,0,100,100,0,Rental,Private,Y,Y
South End Tenants II,South End,02116,185,185,0,0,0,0,185,185,0,Rental,Private,,Y
South Street (200-12),Jamaica Plain,02130,132,132,0,0,0,0,132,132,0,Rental,Public,,
Southwest Crossing Condominium,Roslindale,02131,12,0,12,8,0,8,4,0,4,Ownership/Rental,Private,,
Spencer House,Jamaica Plain,02119,46,46,0,0,0,0,46,46,0,Rental,Private,Y,
Spring/Temple St (2-70),West Roxbury,02132,104,104,0,0,0,0,104,104,0,Rental,Public,Y,
St Botolph Apts (2-53),Back Bay,02116,132,132,0,0,0,0,132,132,0,Rental,Public,Y,
St Botolph St. Assisted Living Community,Back Bay,02118,82,82,0,28,28,0,54,54,0,Rental,Private,Y,
St Botolph Street Apts,Back Bay,02115,135,135,0,43,43,0,92,92,0,Rental,Private,,Y
St Botolph Terrace,Fenway,02115,52,52,0,0,0,0,52,52,0,Rental,Private,,Y
St Cecilia's House,Fenway,02115,123,123,0,0,0,0,123,123,0,Rental,Private,Y,
St Gabriel's,Brighton,02135,670,559,111,572,476,96,98,83,15,Rental,Private,,
St Helena House,South End,02118,74,74,0,1,1,0,73,73,0,Rental,Private,Y,Y
St James Estate Condominium,Roxbury,02119,22,0,22,14,0,14,8,0,8,Ownership,Private,,
St John of God - Market & Clergy,Brighton,02135,92,8,84,84,0,84,8,8,0,Ownership/Rental,Private,,
St Josephs Housing,Roxbury,02119,137,137,0,32,32,0,105,105,,Rental,Private,,Y
St Kevin's,Dorchester,02125,80,80,0,0,0,0,80,80,0,Rental,Private,,
St Peter and Paul Church and Rectory,South Boston,02127,44,0,44,37,0,37,7,0,7,Ownership,Private,,
Stadia 50,Brighton,02135,46,0,46,40,0,40,6,0,6,Ownership,Private,,
Stafford Heights/New Boston Coop,Roxbury,02119,41,41,0,0,0,0,41,41,0,Cooperative,Private,,
Stanwood Homes - Home Again,Dorchester,02121,19,7,12,0,0,0,19,7,12,Ownership/Rental,Private,,
Stille (VUP),South Boston,02127,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Stonewall at Audubon Circle Phase I,Fenway,02215,53,0,53,48,0,48,5,0,5,Ownership,Private,,
Stony Brook Gardens/ Chestnut-Lamartine,Jamaica Plain,02130,50,50,0,0,0,0,50,50,0,Cooperative,Private,,
Stony Brook Village (formerly Canterbury Hts),Roslindale,02136,98,98,0,0,0,0,98,98,0,Rental,Private,,
Strada 234,West End,02114,108,108,0,88,88,0,20,20,0,Rental,Private,,
Strathcona Arms (p/o Ten Most Wanted),Dorchester,02121,14,14,0,0,0,0,14,14,0,Rental,Private,,
Sullivan (VUP),Dorchester,02121,1,1,0,0,0,0,1,1,0,Rental,Private,,
Sumner Court,Dorchester,02125,10,0,10,0,0,0,10,0,10,Ownership,Private,,
Sumner Hill House,Jamaica Plain,02130,75,0,75,45,0,45,30,0,30,Rental,Private,,
Suppressed1,South End,02118,17,17,0,0,0,0,17,17,0,Rental,Private,,
Suppressed10,Dorchester,02124,11,11,0,0,0,0,11,11,0,Rental,Private,,
Suppressed11,Fenway,02115,75,75,0,0,0,0,75,75,0,Rental,Private,Y,
Suppressed12,Roxbury,02119,20,20,0,0,0,0,20,20,0,Rental,Private,,
Suppressed13,Fenway,02215,16,16,0,0,0,0,16,16,0,Rental,Private,,
Suppressed14,Jamaica Plain,02119,12,12,0,0,0,0,12,12,0,Rental,Private,,
Suppressed15,Brighton,02135,18,18,0,0,0,0,18,18,0,Rental,Private,,
Suppressed16,South End,02118,15,15,0,0,0,0,15,15,0,Rental,Private,,
Suppressed17,East Boston,02128,18,18,0,0,0,0,18,18,0,Rental,Private,,
Suppressed18,Dorchester,02122,4,4,0,0,0,0,4,4,0,Rental,Private,,
Suppressed19,Dorchester,02122,6,6,0,0,0,0,6,6,0,Rental,Private,,
Suppressed2,Roxbury,02120,75,75,0,0,0,0,75,75,0,Rental,Private,,
Suppressed20,Dorchester,02125,6,6,0,0,0,0,6,6,0,Rental,Private,,
Suppressed21,South End,02118,3,3,0,0,0,0,3,3,0,Rental,Private,,
Suppressed22,Roxbury,02119,23,23,0,0,0,0,23,23,0,Rental,Private,,
Suppressed23,Dorchester,02124,4,4,0,0,0,0,4,4,0,Rental,Private,,
Suppressed24,Dorchester,02124,5,5,0,0,0,0,5,5,0,Rental,Private,,
Suppressed25,Dorchester,02124,11,11,0,1,1,0,10,10,0,Rental,Private,,
Suppressed26,Downtown,02116,56,56,0,0,0,0,56,56,0,Rental,Private,,
Suppressed27,Brighton,02135,102,102,0,33,33,0,69,69,0,Rental,Private,Y,
Suppressed28,Jamaica Plain,02130,6,6,0,0,0,0,6,6,0,Rental,Private,,
Suppressed29,Mattapan,02126,8,8,0,0,0,0,8,8,0,Rental,Private,,
Suppressed3,Allston,02134,12,12,0,0,0,0,12,12,0,Rental,Private,,
Suppressed30,Roxbury,02125,13,13,0,0,0,0,13,13,0,Rental,Private,,
Suppressed31,Beacon Hill,02114,120,120,0,0,0,0,120,120,0,Rental,Private,,
Suppressed32,Roxbury,02119,19,19,0,0,0,0,19,19,0,Rental,Private,,
Suppressed33,Beacon Hill,02114,21,21,0,1,1,0,20,20,0,Rental,Private,,Y
Suppressed34,Mattapan,02126,48,48,0,0,0,0,46,46,0,Rental,Public,Y,
Suppressed35,Roxbury,02119,131,131,0,0,0,0,131,131,0,Rental,Private,,Y
Suppressed36,Fenway,02115,48,48,0,0,0,0,48,48,0,Rental,Private,,Y
Suppressed4,Dorchester,02125,9,9,0,1,1,0,8,8,0,Rental,Private,,Y
Suppressed5,Dorchester,02125,12,12,0,0,0,0,12,12,0,Rental,Private,,
Suppressed6,West Roxbury,02132,4,4,0,0,0,0,4,4,0,Rental,Private,,
Suppressed7,Charlestown,02129,25,25,0,0,0,0,25,25,0,Rental,Private,,
Suppressed8,Fenway,02115,14,14,0,1,1,0,13,13,0,Rental,Private,,
Suppressed9,Roxbury,02119,9,9,0,0,0,0,9,9,0,Rental,Private,,
Symphony Court at Burbank Street,Fenway,02115,34,0,34,32,0,32,2,0,2,Ownership,Private,,
